ServerID,CPU_Utilization_Pct,Memory_Utilization_Pct,Disk_IOPS,Network_Latency_MS,Active_Thread_Count,Error_Log_Rate_per_Min
SRV-7058,46.5,53.3,1482,18.2,168,0
SRV-7059,50.9,55.8,1084,16.8,172,0
SRV-7060,31.6,65.2,1134,19.0,190,0
SRV-7061,22.7,63.3,828,19.6,202,0
SRV-7062,49.1,55.4,1505,15.8,167,0
SRV-7063,17.2,51.4,1563,24.8,166,0
SRV-7064,39.0,48.6,948,14.3,131,0
SRV-7065,29.9,62.9,1146,18.3,196,0
SRV-7066,53.7,68.0,807,18.8,167,0
SRV-7067,36.0,49.9,1497,24.2,165,0
SRV-7068,45.4,52.0,1023,15.7,238,0
SRV-7069,63.7,98.4,772,161.0,435,48
SRV-7070,51.4,57.3,1283,21.1,230,0
SRV-7071,24.5,44.9,1421,14.7,158,0
SRV-7072,41.9,50.9,1255,18.4,209,0
SRV-7073,54.1,57.7,1530,14.0,139,1
SRV-7074,46.6,59.7,1477,21.8,192,0
SRV-7075,52.1,67.3,1037,20.4,170,0
SRV-7076,33.7,57.9,1101,18.6,211,0
SRV-7077,50.2,43.1,1206,18.9,198,0
SRV-7078,28.5,52.5,1254,19.5,219,2
SRV-7079,54.1,43.5,1243,20.1,175,0
SRV-7080,38.0,56.1,1024,23.3,141,0
SRV-7081,45.7,50.8,1167,10.4,198,0
SRV-7082,52.8,43.4,650,20.3,167,0
SRV-7083,53.2,65.5,1144,13.9,177,0
SRV-7084,48.3,42.8,1027,18.3,186,1
SRV-7085,34.9,49.6,1218,17.6,203,0
SRV-7086,38.6,57.7,1314,20.8,191,0
SRV-7087,32.6,57.6,1512,20.5,154,0
SRV-7088,41.5,49.6,1650,18.3,144,0
SRV-7089,26.1,59.5,1041,22.5,173,0
SRV-7090,41.7,51.4,594,12.2,199,0
SRV-7091,45.7,58.8,1193,16.2,173,2
SRV-7092,38.0,55.0,910,24.5,201,0
SRV-7093,33.2,55.3,1132,18.2,175,0
SRV-7094,34.7,69.4,1360,16.2,194,0
SRV-7095,44.8,48.6,1652,19.9,189,0
SRV-7096,48.8,63.4,1066,23.8,184,0
SRV-7097,46.0,72.5,1107,19.3,154,0
SRV-7098,36.7,54.8,1735,25.4,190,0
SRV-7099,30.7,59.5,1074,19.3,207,0
SRV-7100,40.9,51.1,1593,13.6,143,2
SRV-7101,26.4,71.0,1173,25.6,139,0
SRV-7102,36.3,66.8,1545,16.0,189,0
SRV-7103,45.2,52.7,787,18.3,176,0
SRV-7104,52.6,64.2,765,17.1,152,2
SRV-7105,50.1,45.0,1476,15.7,141,0
SRV-7106,39.3,55.6,879,22.5,167,0
SRV-7107,48.5,43.9,990,20.6,201,0
SRV-7108,54.2,58.1,1307,22.6,185,0
SRV-7109,38.7,50.6,1212,15.7,176,1
SRV-7110,31.7,55.6,700,22.2,188,0
SRV-7111,21.0,78.0,982,20.1,156,0
SRV-7112,48.4,50.0,1678,17.7,185,0
SRV-7113,41.7,71.0,1440,19.7,168,1
SRV-7114,42.7,63.8,1496,21.1,151,0
SRV-7115,34.3,57.4,1451,17.5,188,0
SRV-7116,56.4,53.0,1441,23.3,149,0
SRV-7117,49.2,60.1,1522,17.5,183,0
SRV-7118,31.7,46.2,839,24.9,158,0
SRV-7119,26.5,52.6,876,16.1,184,0
SRV-7120,35.0,49.5,1763,22.4,171,0
SRV-7121,37.5,54.8,910,12.4,216,0
SRV-7122,23.8,66.1,1340,20.9,201,2
SRV-7123,39.5,58.1,1152,20.7,179,0
SRV-7124,32.5,47.1,924,19.2,214,0
SRV-7125,57.1,61.2,1049,12.2,176,0
SRV-7126,40.4,55.8,866,16.1,187,0
SRV-7127,56.0,54.4,1055,18.8,191,0
SRV-7128,43.4,55.4,1210,15.7,163,0
SRV-7129,53.5,52.6,1131,21.5,198,0
SRV-7130,35.0,52.6,1511,15.8,186,0
SRV-7131,64.2,45.1,1331,15.6,171,0
SRV-7132,46.5,55.4,1163,22.4,235,0
SRV-7133,56.6,41.5,1278,18.5,190,0
SRV-7134,34.3,68.4,1061,20.8,220,0
SRV-7135,31.0,49.3,1053,17.7,161,0
SRV-7136,42.3,56.9,811,19.8,200,0
SRV-7137,30.3,45.1,1373,26.3,173,0
SRV-7138,59.3,59.5,1219,20.7,156,0
SRV-7139,80.2,82.2,8109,40.1,290,285
SRV-7140,81.9,81.5,4599,117.9,206,509
SRV-7141,34.5,61.3,1037,19.6,200,1
SRV-7142,35.1,56.2,1816,17.3,169,0
SRV-7143,26.6,45.5,1215,12.1,166,1
SRV-7144,50.1,57.9,1550,10.5,210,0
SRV-7145,50.9,36.6,1569,22.8,224,0
SRV-7146,44.6,59.6,1069,16.8,166,2
SRV-7147,49.1,56.0,1019,29.0,202,0
SRV-7148,26.0,57.3,1171,20.5,204,0
SRV-7149,51.5,27.9,1172,18.2,169,0
SRV-7150,45.0,60.8,1085,11.9,211,0
SRV-7151,28.7,57.2,1180,12.6,196,0
SRV-7152,55.7,45.2,1134,15.4,165,0
SRV-7153,57.2,65.8,1016,15.5,165,0
SRV-7154,62.8,97.8,1386,156.5,555,21
SRV-7155,36.9,39.4,1874,16.9,150,2
SRV-7156,36.3,51.9,1542,17.0,223,0
SRV-7157,49.9,42.7,1458,20.2,206,0
SRV-7158,28.1,48.9,1197,27.4,162,0
SRV-7159,37.4,51.9,1338,22.9,193,0
SRV-7160,38.9,63.2,1272,15.6,175,1
SRV-7161,38.2,61.5,1022,18.4,212,0
SRV-7162,26.9,52.8,1169,22.4,179,0
SRV-7163,44.6,63.7,1343,8.8,184,0
SRV-7164,31.2,40.8,1513,19.3,176,0
SRV-7165,34.8,62.6,1208,15.8,197,2
SRV-7166,33.4,48.0,1440,18.3,160,0
SRV-7167,38.3,54.7,946,18.7,200,0
SRV-7168,44.3,47.7,1140,15.4,125,0
SRV-7169,51.7,57.5,1158,18.3,231,0
SRV-7170,49.5,52.1,1275,11.9,148,2
SRV-7171,48.1,58.0,1599,23.0,160,0
SRV-7172,59.3,57.4,1280,15.8,150,0
SRV-7173,41.6,66.8,1076,21.1,215,0
SRV-7174,52.0,56.6,901,17.6,213,0
SRV-7175,44.5,52.2,1352,19.5,175,0
SRV-7176,53.0,48.1,1308,23.2,155,0
SRV-7177,56.9,64.6,1220,19.7,187,0
SRV-7178,50.3,61.4,1481,21.6,177,0
SRV-7179,54.2,52.7,964,23.3,195,0
SRV-7180,45.9,48.0,1095,13.8,204,0
SRV-7181,39.4,50.7,1275,21.4,155,0
SRV-7182,67.1,52.3,1123,18.8,207,0
SRV-7183,27.8,63.5,1412,18.8,212,0
SRV-7184,45.6,50.4,1040,13.3,199,0
SRV-7185,50.8,58.6,929,13.2,179,0
SRV-7186,45.0,44.0,1379,25.2,221,1
SRV-7187,49.3,51.7,1332,15.7,124,0
SRV-7188,48.9,54.2,1427,24.2,182,0
SRV-7189,43.5,52.8,950,18.3,200,0
SRV-7190,50.9,49.5,1183,19.5,209,0
SRV-7191,39.6,56.4,1157,19.0,167,0
SRV-7192,28.9,46.2,1157,18.9,199,0
SRV-7193,33.1,64.3,1105,20.7,211,0
SRV-7194,33.6,59.9,882,14.2,164,0
SRV-7195,58.3,58.8,1678,22.5,122,0
SRV-7196,63.7,62.5,1337,16.8,152,0
SRV-7197,39.8,53.4,1164,18.0,207,0
SRV-7198,51.4,49.5,1124,15.2,126,1
SRV-7199,41.6,67.7,1268,19.9,159,0
SRV-7200,57.8,58.0,1657,26.6,173,0
SRV-7201,35.0,65.1,1084,15.3,126,0
SRV-7202,40.7,48.0,1068,16.5,173,0
SRV-7203,34.7,47.5,919,13.9,193,1
SRV-7204,14.4,63.5,892,19.4,140,1
SRV-7205,55.0,55.2,879,16.8,182,0
SRV-7206,49.8,59.5,1450,16.0,188,0
SRV-7207,36.6,54.9,1275,20.0,164,0
SRV-7208,33.4,57.9,1049,19.6,166,2
SRV-7209,29.4,44.9,947,19.6,198,0
SRV-7210,49.4,50.5,1217,22.7,168,0
SRV-7211,39.0,50.2,1610,19.5,190,0
SRV-7212,30.6,71.1,1595,20.6,190,0
SRV-7213,45.8,52.5,1031,20.4,154,2
SRV-7214,50.7,52.0,1051,13.7,216,1
SRV-7215,36.8,60.5,1051,21.9,188,0
SRV-7216,38.2,45.9,871,16.2,156,0
SRV-7217,39.0,54.2,1552,18.3,172,0
SRV-7218,47.4,62.1,1450,26.7,194,0
SRV-7219,64.3,43.2,1134,11.7,193,0
SRV-7220,48.6,67.2,1110,21.7,193,0
SRV-7221,64.5,50.5,776,21.9,162,0
SRV-7222,29.7,61.3,1184,12.4,184,0
SRV-7223,59.1,50.9,1260,18.2,201,0
SRV-7224,32.1,51.3,1558,17.4,215,0
SRV-7225,53.1,60.8,1031,17.7,136,2
SRV-7226,85.9,76.2,5271,68.9,341,367
SRV-7227,40.0,57.4,574,12.4,237,0
SRV-7228,36.9,44.7,542,22.4,239,1
SRV-7229,37.2,61.2,603,12.7,167,0
SRV-7230,28.6,61.6,1054,21.9,165,0
SRV-7231,44.0,62.9,1183,16.1,217,1
SRV-7232,34.9,45.5,1408,13.7,205,0
SRV-7233,50.1,59.3,1404,13.7,194,0
SRV-7234,52.9,64.1,1749,17.7,201,0
SRV-7235,36.7,67.0,1532,23.8,185,0
SRV-7236,51.1,52.6,1120,23.8,199,0
SRV-7237,47.6,62.3,586,24.7,175,1
SRV-7238,34.3,50.4,1354,23.8,176,0
SRV-7239,52.5,52.3,1015,17.8,207,0
SRV-7240,43.3,50.5,867,27.3,145,0
SRV-7241,23.0,57.5,11711,690.7,723,8
SRV-7242,56.0,78.0,1312,14.4,176,0
SRV-7243,46.3,65.2,1075,15.0,185,0
SRV-7244,54.2,55.9,1578,26.6,180,0
SRV-7245,46.2,54.1,1160,17.9,198,0
SRV-7246,33.6,51.5,925,18.4,169,0
SRV-7247,37.2,58.1,16267,939.6,473,22
SRV-7248,61.7,98.4,840,172.0,523,27
SRV-7249,52.7,67.6,1262,17.6,210,0
SRV-7250,34.1,50.0,1157,16.6,130,0
SRV-7251,49.5,53.6,922,17.7,238,0
SRV-7252,53.0,70.7,892,20.5,168,0
SRV-7253,40.9,42.8,1260,19.6,224,1
SRV-7254,45.1,51.9,1267,17.1,195,1
SRV-7255,38.3,54.0,906,18.4,189,1
SRV-7256,24.3,65.1,973,15.9,165,0
SRV-7257,55.7,76.7,1132,23.3,171,0
SRV-7258,47.6,55.7,1150,17.9,175,0
SRV-7259,53.3,53.9,1450,27.8,184,1
SRV-7260,41.8,51.9,1481,22.3,160,0
SRV-7261,90.5,80.7,7665,82.3,438,312
SRV-7262,46.1,50.7,1414,20.6,197,0
SRV-7263,50.0,61.0,1497,21.3,188,0
SRV-7264,52.7,48.4,1193,11.9,139,0
SRV-7265,34.1,52.5,726,19.4,180,0
SRV-7266,33.8,53.6,1220,17.9,162,0
SRV-7267,34.3,47.5,1407,17.7,173,0
SRV-7268,22.0,55.6,1205,11.9,210,0
SRV-7269,11.8,56.5,1650,23.5,185,0
SRV-7270,37.1,61.7,1339,19.4,214,0
SRV-7271,45.9,50.9,1193,11.4,162,0
SRV-7272,37.9,50.0,1203,22.3,154,0
SRV-7273,50.3,48.1,1035,17.3,146,0
SRV-7274,33.8,63.2,1034,17.9,203,1
SRV-7275,45.9,54.2,1266,16.2,119,0
SRV-7276,40.7,59.2,995,19.3,181,0
SRV-7277,42.9,56.6,1045,17.2,195,0
SRV-7278,54.0,58.3,1168,7.2,180,0
SRV-7279,36.5,45.2,1072,17.9,168,0
SRV-7280,56.5,51.8,1320,17.0,232,1
SRV-7281,48.7,46.4,811,21.8,189,0
SRV-7282,33.0,63.6,857,24.7,160,0
SRV-7283,38.7,59.8,1063,17.8,181,0
SRV-7284,32.0,42.8,916,17.6,114,0
SRV-7285,66.1,61.3,1195,17.4,180,0
SRV-7286,47.5,63.4,1019,19.0,218,2
SRV-7287,48.7,59.7,1111,16.2,182,0
SRV-7288,57.5,62.9,862,21.2,196,0
SRV-7289,26.0,48.4,1174,11.9,175,0
SRV-7290,58.6,59.3,1212,17.7,163,0
SRV-7291,38.2,52.5,1520,20.7,152,0
SRV-7292,44.5,44.6,1594,13.8,201,0
SRV-7293,39.7,58.7,1446,18.2,172,0
SRV-7294,43.5,46.3,1161,18.7,194,0
SRV-7295,62.2,55.1,1152,17.1,175,0
SRV-7296,55.7,50.5,1179,17.7,149,0
SRV-7297,37.7,59.7,800,20.3,230,0
SRV-7298,28.4,56.3,1210,20.7,165,1
SRV-7299,46.3,55.2,1039,20.5,225,0
SRV-7300,40.1,66.1,1493,19.4,149,0
SRV-7301,38.9,55.0,887,20.9,202,0
SRV-7302,37.5,53.8,981,18.4,167,0
SRV-7303,38.4,49.8,1386,17.8,163,0
SRV-7304,55.2,57.0,1237,18.9,194,0
SRV-7305,79.8,98.4,1073,150.7,1077,15
SRV-7306,42.1,47.4,1098,21.2,182,0
SRV-7307,47.8,59.4,1858,15.3,203,0
SRV-7308,40.1,62.4,1168,24.5,143,0
SRV-7309,41.9,50.6,943,17.0,191,0
SRV-7310,16.0,56.6,1309,20.1,210,0
SRV-7311,31.3,47.4,1305,18.9,206,0
SRV-7312,37.0,54.3,1286,16.6,163,2
SRV-7313,20.1,40.3,12374,873.8,331,11
SRV-7314,42.3,64.7,1405,17.5,208,0
SRV-7315,53.9,47.2,1083,20.3,199,0
SRV-7316,39.5,66.7,769,16.1,185,0
SRV-7317,33.7,59.2,1304,24.1,196,0
SRV-7318,27.0,62.8,1400,18.6,156,0
SRV-7319,48.1,53.5,1333,22.1,171,1
SRV-7320,60.0,63.7,1431,16.8,196,0
SRV-7321,36.4,46.2,1309,21.6,191,1
SRV-7322,58.7,35.9,1181,20.3,166,0
SRV-7323,39.1,54.4,820,17.1,202,0
SRV-7324,98.2,70.7,1963,279.1,1001,18
SRV-7325,47.8,37.8,1474,16.6,158,0
SRV-7326,45.8,61.5,1037,21.6,207,0
SRV-7327,61.3,52.0,1235,11.4,190,0
SRV-7328,54.5,42.9,1504,15.0,162,0
SRV-7329,40.5,50.7,773,14.0,210,0
SRV-7330,47.4,53.8,1546,23.1,150,0
SRV-7331,47.2,51.7,1265,14.6,156,0
SRV-7332,28.7,55.6,1578,16.0,163,0
SRV-7333,59.0,43.0,1037,18.2,143,0
SRV-7334,51.5,44.7,1221,20.1,177,0
SRV-7335,43.9,68.4,1535,13.3,200,0
SRV-7336,53.9,63.1,806,22.2,196,1
SRV-7337,26.6,59.4,1285,20.1,146,0
SRV-7338,33.4,68.6,1210,17.5,171,2
SRV-7339,25.8,64.0,1116,20.8,154,2
SRV-7340,33.4,53.9,1279,19.3,139,0
SRV-7341,37.6,69.0,1545,13.3,197,0
SRV-7342,45.6,59.5,1025,15.0,222,0
SRV-7343,39.0,50.4,1259,20.5,191,1
SRV-7344,28.0,56.7,1554,21.2,183,0
SRV-7345,59.1,60.5,1147,22.8,239,0
SRV-7346,50.1,52.8,1476,21.1,233,0
SRV-7347,34.5,50.2,1629,26.5,160,1
SRV-7348,37.2,40.8,1027,18.5,199,0
SRV-7349,41.8,51.1,1560,13.5,200,0
SRV-7350,47.4,46.7,1233,19.2,162,0
SRV-7351,45.3,46.3,993,30.3,211,0
SRV-7352,52.5,51.3,1032,22.5,151,0
SRV-7353,28.4,53.2,987,19.2,254,0
SRV-7354,46.2,61.8,1243,19.2,170,0
SRV-7355,57.9,58.8,968,20.7,157,0
SRV-7356,43.1,69.0,1129,20.2,160,0
SRV-7357,39.1,74.4,1308,13.0,165,0
SRV-7358,43.1,58.6,676,24.2,213,0
SRV-7359,18.7,48.1,1333,8.0,180,1
SRV-7360,47.5,72.8,1262,14.8,171,0
SRV-7361,34.1,47.0,1362,21.9,174,0
SRV-7362,15.2,57.1,1188,15.4,230,0
SRV-7363,51.6,57.2,1639,20.0,189,0
SRV-7364,21.1,53.5,1140,24.2,188,1
SRV-7365,39.0,48.6,1184,23.4,168,1
SRV-7366,75.2,75.7,6396,54.5,422,484
SRV-7367,43.9,50.5,1151,15.8,172,2
SRV-7368,55.5,40.0,1354,16.0,150,0
SRV-7369,40.1,50.1,1640,17.4,212,0
SRV-7370,51.7,60.2,915,17.7,179,0
SRV-7371,44.7,67.1,1549,20.2,198,0
SRV-7372,48.2,58.3,984,24.1,197,0
SRV-7373,43.5,54.1,1289,19.4,193,0
SRV-7374,56.4,56.5,1435,14.4,189,0
SRV-7375,32.1,62.5,1042,14.5,161,0
SRV-7376,35.1,55.1,1425,14.9,217,0
SRV-7377,53.1,59.8,1431,14.1,182,0
SRV-7378,41.5,45.6,976,20.9,156,0
SRV-7379,26.7,59.9,1461,20.6,197,0
SRV-7380,49.6,57.1,1065,14.5,130,0
SRV-7381,38.7,58.9,1065,18.8,149,1
SRV-7382,53.6,52.4,1382,19.8,187,0
SRV-7383,34.9,56.0,1490,15.3,189,2
SRV-7384,45.2,46.9,1138,18.3,176,0
SRV-7385,23.9,60.1,899,21.3,213,0
SRV-7386,48.3,58.1,1472,26.5,205,1
SRV-7387,58.3,69.0,1642,16.5,146,0
SRV-7388,36.5,57.9,674,21.0,202,0
SRV-7389,41.3,49.8,1497,23.2,193,0
SRV-7390,96.2,76.1,2961,143.0,1742,5
SRV-7391,40.4,64.8,1621,20.8,158,0
SRV-7392,51.5,58.8,1330,23.8,201,0
SRV-7393,47.0,55.3,1339,8.4,172,0
SRV-7394,25.5,59.3,1237,21.6,136,0
SRV-7395,53.1,54.4,1087,19.3,161,1
SRV-7396,45.3,61.4,1307,17.1,175,0
SRV-7397,44.1,62.2,1042,19.5,200,2
SRV-7398,53.9,54.0,1154,16.6,188,1
SRV-7399,45.1,53.4,1013,17.8,141,0
SRV-7400,25.0,51.3,1046,22.7,154,0
SRV-7401,34.4,48.8,875,16.7,184,0
SRV-7402,38.2,57.7,1420,17.0,132,0
SRV-7403,40.5,52.1,1275,19.2,247,0
SRV-7404,27.7,61.3,988,18.4,132,0
SRV-7405,38.1,54.1,1041,25.5,171,0
SRV-7406,53.3,60.5,1096,21.7,210,2
SRV-7407,43.4,52.8,1411,18.3,144,0
SRV-7408,10.0,43.2,1093,22.6,173,0
SRV-7409,52.5,67.5,1131,17.5,172,2
SRV-7410,44.6,45.0,1112,29.2,149,0
SRV-7411,99.0,67.0,1697,402.1,1081,7
SRV-7412,82.3,81.9,8515,88.3,372,396
SRV-7413,48.6,46.2,1255,23.4,167,0
SRV-7414,43.2,48.2,1300,20.4,192,0
SRV-7415,32.2,58.3,1123,15.1,157,0
SRV-7416,45.0,58.0,1538,21.3,176,0
SRV-7417,30.2,54.8,972,14.8,163,0
SRV-7418,41.3,62.1,1597,17.7,178,0
SRV-7419,29.9,50.8,1547,17.0,189,0
SRV-7420,36.0,46.1,1802,19.4,180,0
SRV-7421,50.9,38.3,1631,17.4,187,0
SRV-7422,26.5,52.6,1262,14.9,159,0
SRV-7423,36.5,51.4,1514,16.4,188,0
SRV-7424,49.5,46.1,1385,19.0,164,0
SRV-7425,40.3,55.8,1523,15.6,198,0
SRV-7426,47.1,56.6,1373,12.7,150,0
SRV-7427,53.5,47.9,1438,22.0,216,2
SRV-7428,31.1,44.8,1172,15.3,159,0
SRV-7429,29.5,60.1,1152,19.8,151,0
SRV-7430,41.4,58.9,787,18.5,231,0
SRV-7431,38.3,58.7,1580,14.7,223,0
SRV-7432,39.3,59.8,923,22.2,167,0
SRV-7433,37.1,64.8,1135,19.9,165,0
SRV-7434,41.4,40.2,1395,12.0,149,0
SRV-7435,39.6,62.3,1226,23.6,158,0
SRV-7436,61.1,61.5,1145,21.9,191,0
SRV-7437,47.1,46.0,1802,24.6,195,0
SRV-7438,46.2,71.6,763,20.8,178,0
SRV-7439,46.5,51.7,1671,20.7,146,0
SRV-7440,23.3,63.2,1307,20.2,125,0
SRV-7441,16.3,56.7,9560,842.5,515,20
SRV-7442,38.7,51.4,1337,23.3,168,0
SRV-7443,34.1,37.1,1302,17.8,188,0
SRV-7444,61.6,35.1,1035,20.3,155,2
SRV-7445,59.2,59.0,1166,15.7,186,1
SRV-7446,87.3,86.0,5157,94.5,482,193
SRV-7447,32.9,58.4,1499,13.0,162,0
SRV-7448,31.3,40.7,1489,23.6,175,0
SRV-7449,35.2,57.5,1116,18.1,166,0
SRV-7450,43.5,63.1,1203,12.2,188,1
SRV-7451,39.4,56.8,1373,13.4,222,0
SRV-7452,61.9,57.8,1606,16.5,172,0
SRV-7453,44.7,64.6,1235,10.6,152,1
SRV-7454,48.5,51.2,1787,7.8,196,0
SRV-7455,24.4,54.2,1304,15.0,211,0
SRV-7456,55.5,51.2,1218,17.2,212,0
SRV-7457,52.9,44.7,1343,20.3,133,0
SRV-7458,38.7,52.3,1574,16.6,158,0
SRV-7459,39.8,63.4,1613,16.6,164,0
SRV-7460,38.3,50.9,1051,18.1,182,0
SRV-7461,36.8,55.6,1097,18.1,179,0
SRV-7462,45.4,54.4,766,19.9,154,1
SRV-7463,51.3,61.8,668,18.1,164,0
SRV-7464,96.9,67.9,1889,148.9,952,8
SRV-7465,22.1,50.1,1369,15.4,179,0
SRV-7466,35.4,46.7,792,13.6,182,0
SRV-7467,48.1,60.7,1157,17.8,159,0
SRV-7468,28.5,51.9,1239,18.1,169,0
SRV-7469,97.0,84.4,2017,231.3,1330,13
SRV-7470,37.3,43.6,1390,13.9,192,0
SRV-7471,51.4,99.1,1035,93.9,427,58
SRV-7472,51.7,62.1,1657,16.9,197,0
SRV-7473,28.9,69.1,740,15.4,208,0
SRV-7474,44.1,56.5,1306,19.4,211,0
SRV-7475,65.7,98.1,970,163.7,556,42
SRV-7476,48.6,60.1,1270,28.5,176,0
SRV-7477,39.1,46.9,1114,18.4,170,1
SRV-7478,98.5,78.7,1828,139.8,1022,10
SRV-7479,45.7,49.4,1291,13.6,155,0
SRV-7480,39.6,64.6,1319,18.3,210,0
SRV-7481,53.9,62.4,1773,18.0,169,0
SRV-7482,54.6,45.7,1280,18.3,175,0
SRV-7483,45.8,57.5,1233,18.0,140,0
SRV-7484,50.7,65.4,1659,21.9,159,0
SRV-7485,39.8,59.3,1159,14.3,182,1
SRV-7486,39.9,56.6,1139,18.2,199,0
SRV-7487,48.8,52.5,862,22.2,195,0
SRV-7488,23.9,47.6,8128,651.2,810,27
SRV-7489,38.7,59.9,1891,18.9,158,0
SRV-7490,26.4,67.0,1117,17.7,164,0
SRV-7491,39.1,54.7,1268,22.8,182,2
SRV-7492,54.8,57.7,898,14.2,221,0
SRV-7493,32.5,48.7,1100,14.8,188,0
SRV-7494,53.0,63.5,1333,19.9,224,0
SRV-7495,42.0,51.3,765,22.7,188,0
SRV-7496,41.5,47.1,1480,27.8,184,0
SRV-7497,33.0,60.3,882,26.4,179,0
SRV-7498,69.6,97.9,1477,172.6,508,21
SRV-7499,37.7,69.9,15004,800.8,502,26
SRV-7500,38.3,53.8,1391,22.5,210,0
SRV-7501,30.3,52.7,1597,21.2,176,0
SRV-7502,44.2,47.2,1177,19.9,175,0
SRV-7503,37.1,58.7,955,13.9,137,0
SRV-7504,39.9,62.7,1595,14.0,229,0
SRV-7505,34.2,58.2,1232,18.2,150,0
SRV-7506,24.0,66.9,991,17.1,152,0
SRV-7507,38.4,72.3,1497,19.4,205,0
SRV-7508,43.8,66.1,1230,15.3,174,0
SRV-7509,50.0,54.4,1181,26.4,145,0
SRV-7510,54.0,57.5,1188,15.2,207,0
SRV-7511,46.3,56.6,1175,20.2,116,0
SRV-7512,43.9,58.8,1544,18.2,165,0
SRV-7513,50.4,70.9,991,16.3,176,0
SRV-7514,39.7,61.5,1126,12.7,188,0
SRV-7515,54.1,57.0,1546,20.3,207,0
SRV-7516,26.8,69.0,1212,20.8,146,0
SRV-7517,47.1,44.7,1273,19.1,164,0
SRV-7518,90.9,84.2,5869,90.0,203,536
SRV-7519,36.8,50.6,1065,18.0,187,0
SRV-7520,17.0,63.7,1105,18.6,150,0
SRV-7521,43.3,49.1,1453,19.2,193,0
SRV-7522,34.4,64.7,17027,641.2,570,17
SRV-7523,42.7,51.4,1145,18.1,177,0
SRV-7524,25.6,56.0,1279,19.0,171,0
SRV-7525,31.9,64.2,1546,17.3,114,0
SRV-7526,43.1,59.1,971,23.0,145,0
SRV-7527,36.3,59.0,1066,20.5,228,0
SRV-7528,33.0,44.5,1325,17.1,167,0
SRV-7529,48.0,57.6,1184,20.5,166,0
SRV-7530,36.5,67.8,1500,19.6,188,0
SRV-7531,76.7,99.1,959,194.9,894,36
SRV-7532,85.8,88.1,8970,40.9,419,363
SRV-7533,44.8,65.9,907,8.0,166,0
SRV-7534,57.0,69.9,1174,13.5,232,0
SRV-7535,57.9,64.6,1043,12.0,190,0
